state,CO2 Avg,popup_image
AL,5127979.444,"AL_emissions.png"
AK,0,"AK_emissions.png"
AZ,3003177.446,"AZ_emissions.png"
AR,2963958.634,"AR_emissions.png"
CA,3277188.03,"CA_emissions.png"
CO,2805928.075,"CO_emissions.png"
CT,809755.4399,"CT_emissions.png"
DE,195628.9206,"DE_emissions.png"
FL,8421069.461,"FL_emissions.png"
GA,4543571.753,"GA_emissions.png"
HI,0,"HI_emissions.png"
ID,171624.7424,"ID_emissions.png"
IL,4212086.356,"IL_emissions.png"
IN,6435962.228,"IN_emissions.png"
IA,2005309.472,"IA_emissions.png"
KS,2056719.868,"KS_emissions.png"
KY,5095894.564,"KY_emissions.png"
LA,3592578.632,"LA_emissions.png"
ME,155172.9822,"ME_emissions.png"
MD,1076742.989,"MD_emissions.png"
MA,648986.6874,"MA_emissions.png"
MI,4484951.895,"MI_emissions.png"
MN,1939355.784,"MN_emissions.png"
MS,2486467.686,"MS_emissions.png"
MO,4929870.992,"MO_emissions.png"
MT,1030134.454,"MT_emissions.png"
NE,1791777.151,"NE_emissions.png"
NV,1118061.074,"NV_emissions.png"
NH,285982.4012,"NH_emissions.png"
NJ,1264104.338,"NJ_emissions.png"
NM,1658290.279,"NM_emissions.png"
NY,2538313.097,"NY_emissions.png"
NC,4311955.644,"NC_emissions.png"
ND,2540953.713,"ND_emissions.png"
OH,6416642.309,"OH_emissions.png"
OK,2408680.09,"OK_emissions.png"
OR,721087.9927,"OR_emissions.png"
PA,6954644.426,"PA_emissions.png"
RI,259207.5674,"RI_emissions.png"
SC,2483527.416,"SC_emissions.png"
SD,227722.056,"SD_emissions.png"
TN,2204850.06,"TN_emissions.png"
TX,18023382.64,"TX_emissions.png"
UT,2451307.772,"UT_emissions.png"
VT,35214.49311,"VT_emissions.png"
VA,2399551.092,"VA_emissions.png"
WA,939254.176,"WA_emissions.png"
WV,4844442.567,"WV_emissions.png"
WI,3011608.097,"WI_emissions.png"
WY,3411548.344,"WY_emissions.png"